,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:05:08,4593,1400,3500,14,2115,1999,433991,658
11/01/2021 13:39:11,4578,1500,3500,11,2100,1999,412312,642
11/01/2021 16:38:29,4578,1500,3500,11,2100,1999,412312,642
13/01/2021 00:36:11,4526,1499,1999,7,1642,1500,59333,243
13/01/2021 01:05:39,4526,1499,10000,13,2537,1999,5311609,2304
13/01/2021 01:57:27,4526,1499,10000,13,2537,1999,5311609,2304
13/01/2021 20:50:22,4476,1500,10000,10,2749,1999,6847889,2616
13/01/2021 23:11:56,4448,1500,10000,10,2949,1999,6692511,2586
14/01/2021 01:31:58,4448,1500,10000,10,2949,1999,6692511,2586
14/01/2021 03:30:35,4448,1500,10000,10,2949,1999,6692511,2586
14/01/2021 08:34:21,4448,1500,10000,10,2949,1999,6692511,2586
14/01/2021 13:58:21,4448,1500,10000,10,2949,1999,6692511,2586
14/01/2021 20:46:50,4434,1500,3500,10,1899,1749,377689,614
15/01/2021 00:41:19,4434,1500,3500,11,1908,1999,340818,583
15/01/2021 05:49:08,4421,1500,10000,8,3062,1500,8674107,2945
17/01/2021 02:20:38,4339,999,3500,8,2062,1500,1460732,1208
17/01/2021 06:39:32,4339,999,3500,8,2062,1500,1460732,1208
17/01/2021 10:23:39,4339,999,3500,8,2062,1500,1460732,1208
17/01/2021 13:42:30,4339,999,3500,8,2562,3500,1675446,1294
17/01/2021 16:56:14,4339,999,3500,8,2562,3500,1675446,1294
18/01/2021 17:46:49,4312,999,3500,8,2187,2000,1639410,1280
